"frame","x [nm]","y [nm]","z [nm]","sigma1 [nm]","sigma2 [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","uncertainty_z [nm]","detections"
222,25362.528,20592.93929,16.8507,128.8,111,3959,100,12.48,3.62,7.24,1
224,25356.12584,20631.43913,33.0773,150.1,132.6,27092,99,12.48,1.8,3.6,8
224,25428.47572,21411.43913,-111.09,96.5,158.6,1670,101,12.48,8,16,1
234,24893.0642,20505.9383,71.1474,167.4,138.5,3763,106,12.48,5.43,10.86,1
239,24855.36399,20483.23789,59.2895,151.1,110.4,1997,98,12.48,6.95,13.9,1
240,24009.21568,18043.23781,-270.859,126.2,224.9,4801,113,12.48,5.97,11.94,1
241,25276.76098,20912.93772,144.791,188.4,106.3,23177,98,12.48,2.29,4.58,8
244,24748.46397,19240.43747,-146.663,100.1,173.7,1731,105,12.48,8.94,17.88,1
251,24705.6826,19343.3369,-35.5737,112.2,130.9,5599,105,12.48,3.79,7.58,3
251,25280.72189,21017.8369,116.083,172.6,97.7,3073,102,12.48,5.46,10.92,1
259,24308.06144,19114.73623,81.7571,159.2,104.8,12492,109,12.48,2.41,4.82,3
264,24293.52946,19107.93582,95.4873,166.1,106.2,1682,94,12.48,8.58,17.16,1
266,24306.02769,19110.23565,118.579,177.4,108.8,12552,98,12.48,3.06,6.12,5
271,25340.36573,20991.13524,154.153,190.4,96.6,4791,103,12.48,5.32,10.64,2
272,24307.44905,19108.53516,97.3596,167.3,107.2,7576,102,12.48,3.69,7.38,3
275,24473.89379,19135.43491,183.485,207.5,139.4,14583,96,12.48,3.1,6.2,3
276,24904.8428,19504.03483,-13.1061,123,127.1,2423,88,12.48,5.31,10.62,1
278,24593.08757,19156.83466,38.0701,164.8,157.8,17194,98,12.48,2.22,4.44,2
279,25349.91588,20990.93458,161.642,194.6,98.9,4624,111,12.48,4.72,9.44,1
282,24302.46783,19143.83433,49.3039,148.3,115,1387,112,12.48,9.9,19.8,1
283,25286.40567,20996.43425,197.216,214.6,115.1,5551,104,12.48,4.77,9.54,1
283,24337.93126,19435.63425,111.09,178.7,128.4,5859,103,12.48,4.74,9.48,2
285,24486.59359,18811.43408,-135.43,113.3,174.5,2202,113,12.48,7.97,15.94,1
287,24769.2861,19225.23392,18.723,160.9,160.3,6987,101,12.48,4.3,8.6,2
287,25338.3301,21018.93392,171.003,201.2,111,2906,117,12.48,7.53,15.06,1
289,24652.12359,19186.23375,12.482,126,111,20515,105,12.48,1.43,2.86,3
289,25336.90708,20989.03375,159.77,192.9,95.5,4493,101,12.48,5.64,11.28,2
293,25341.27569,20983.33342,150.408,189.2,99,7482,107,12.48,3.76,7.52,2
293,24675.39259,19897.43342,48.6798,134.9,91.1,1192,99,12.48,8.48,16.96,1
300,24486.48885,19477.43284,63.6582,152.3,108.3,7252,124,12.48,3.28,6.56,2
305,24665.02537,19150.73243,-219.059,147.6,203.4,21188,112,12.48,2.01,4.02,1
306,24460.27093,19483.93234,78.0125,156.5,102.6,4189,112,12.48,4.06,8.12,1
306,24693.37574,18936.33234,-13.7302,115.3,118.9,8149,111,12.48,2.47,4.94,2
308,24469.6191,19473.53218,55.5449,146.9,105.5,4427,130,12.48,4.67,9.34,2
309,24691.34282,18938.7321,-14.3543,119.1,123.9,18838,104,12.48,1.64,3.28,4
311,24449.70193,19469.43193,80.5089,162.8,115.8,8102,109,12.48,3.22,6.44,2
314,24684.63519,18936.83168,-4.9928,121.6,119.8,6962,113,12.48,2.54,5.08,1
315,24693.06903,19644.3316,-17.4748,136.4,145.3,6935,98,12.48,3.51,7.02,2
318,24701.1976,19627.93135,-0.6241,118.3,111.6,30435,116,12.48,1.27,2.54,8
320,24320.44578,19155.23119,46.8075,143.9,108.3,13900,101,12.48,2.02,4.04,3
326,24403.36237,19157.13069,-68.651,126.6,159,2940,111,12.48,6.03,12.06,1
328,24699.36645,19623.23052,-2.4964,120.7,116.4,22733,102,12.48,1.5,3,6
339,24750.37489,20400.92961,122.948,181,117,3879,122,12.48,5.44,10.88,1
341,25333.44135,21077.92945,126.692,178.5,100.6,39187,125,12.48,1.45,2.9,7
346,24302.14967,19412.52904,166.011,198.1,105.9,4097,112,12.48,5.44,10.88,1
348,24535.05084,20784.92887,-315.171,145.1,245.8,3185,111,12.48,9.87,19.74,1
349,25017.11219,19051.02879,-87.374,88.8,142.7,9361,106,12.48,2.47,4.94,3
350,25306.20665,21008.0287,179.741,206.1,133.9,35435,115,12.48,2.1,4.2,8
358,24587.27887,19009.02804,81.7571,165.9,122.8,4227,159,12.48,5.14,10.28,1
358,25028.79604,19152.52804,-108.593,82.4,149.3,2719,94,12.48,4.69,9.38,1
359,25056.63834,20533.92796,99.2319,164.9,98.3,5263,107,12.48,3.54,7.08,1
359,24673.34656,19229.62796,-168.507,142,189.1,32747,111,12.48,1.75,3.5,4
359,25524.06734,18017.52796,46.8075,138.9,99.5,11466,102,12.48,2.31,4.62,4
359,25364.93825,21045.42796,153.529,190,96.6,2319,106,12.48,7.76,15.52,1
360,25008.9807,19113.02788,-128.565,101,167.6,5224,100,12.48,3.6,7.2,1
361,25333.74203,21027.62779,160.394,198,136.7,26642,109,12.48,2.3,4.6,6
361,24538.29981,19433.52779,52.4244,146.6,108.5,40427,134,12.48,1.22,2.44,7
363,24983.98278,19136.22763,-160.394,109,181.4,8436,104,12.48,2.9,5.8,1
364,24869.6657,19265.82755,-140.423,116.7,177.1,6424,96,12.48,3.46,6.92,1
368,24505.17186,18991.02721,74.892,165.2,128,25350,112,12.48,1.76,3.52,4
371,25350.91289,21011.72697,119.203,174,97,5671,97,12.48,4.09,8.18,2
378,24828.50871,19358.12639,-56.7931,104.9,137.5,17593,104,12.48,1.65,3.3,3
379,24471.94147,19063.3263,130.437,183.5,113.5,13070,104,12.48,2.51,5.02,2
382,24038.24803,18382.12606,-74.892,122.1,158.5,8436,109,12.48,3.13,6.26,2
383,24816.11064,20329.22597,-275.228,114.2,226.3,12805,109,12.48,3.64,7.28,3
385,24504.55864,19057.12581,113.586,177.3,117.6,11294,126,12.48,2.86,5.72,2
388,24025.44329,18370.22556,-94.2391,99.4,152.7,1274,96,12.48,9.58,19.16,1
391,24327.44244,19129.42531,4.3687,126.5,118.4,3347,138,12.48,4.53,9.06,1
392,24460.86273,19060.82523,98.6078,167.6,106.4,6201,102,12.48,3.85,7.7,2
394,24564.50961,19248.32506,166.635,199.8,148.7,7324,113,12.48,4.09,8.18,1
394,24817.53096,20240.12506,-68.0269,140.3,167.9,2251,94,12.48,7.99,15.98,1
395,24806.75957,19201.22498,-69.8992,97.7,139.6,1661,97,12.48,6.92,13.84,1
396,24829.92758,20214.9249,-18.723,128,136.6,3844,126,12.48,5.5,11,2
396,25297.45819,21125.9249,119.203,177.1,107.2,6273,125,12.48,4.32,8.64,2
397,24405.58313,19333.02482,85.5017,160.8,104.4,6911,116,12.48,3.47,6.94,2
399,24477.83098,18982.72465,15.6025,138.7,127.3,12906,102,12.48,2.1,4.2,2
399,25289.22675,21125.92465,106.721,172.6,110.6,17590,121,12.48,2.43,4.86,5
400,24258.44399,19013.52457,246.52,230.1,179.5,5895,108,12.48,6.07,12.14,1
400,24029.20055,18398.62457,-52.4244,117.4,145.2,5846,110,12.48,4.66,9.32,4
405,24032.14634,18417.32415,-59.9136,110,143.4,5566,103,12.48,4.5,9,4
405,25226.42744,21059.62415,80.5089,176.3,160.4,30776,114,12.48,2.05,4.1,6
407,24964.66678,20074.42399,-58.0413,103.2,136.9,11143,118,12.48,2.11,4.22,2
411,25162.91681,20873.42366,140.423,190.7,141.5,33065,113,12.48,1.93,3.86,6
411,24016.69961,18420.42366,-62.41,118.3,150.8,4746,110,12.48,5.25,10.5,3
414,24942.41164,20330.92341,-139.798,131.1,180.8,13970,93,12.48,2.46,4.92,2
416,24030.72144,18438.52324,-69.8992,105.5,145.2,3372,104,12.48,5.36,10.72,2
419,24205.397,19195.023,-10.6097,117.8,119.3,1228,121,12.48,9.3,18.6,1
428,24342.06731,19515.92225,122.988,182.8,126.1,7889,109,12.48,4.37,8.74,3
431,24677.80264,19717.622,35.0108,146.9,125.2,9549,111,12.48,2.73,5.46,2
433,24478.02714,19623.62184,-52.3497,153,173.4,5374,109,12.48,4.58,9.16,1
435,24521.31471,19713.12167,-29.8685,115.8,131.1,7735,103,12.48,2.99,5.98,3
435,24011.71548,18074.52167,-259.537,123,220.1,11283,105,12.48,3.52,7.04,2
439,24503.53125,19715.52134,-22.3521,123.2,134,1855,111,12.48,7.33,14.66,1
441,24009.07225,18091.52118,-250.759,114.7,215.8,19891,104,12.48,2.42,4.84,3
441,24523.75222,19704.02118,-47.9266,106,133.2,19768,129,12.48,1.86,3.72,7
445,24475.78911,18918.22084,7.02138,138,132.5,14046,147,12.48,2.17,4.34,2
445,24006.63265,18072.82084,-257.597,112.9,218.6,29876,111,12.48,2.19,4.38,6
447,24615.81416,19124.12068,-280.675,163.3,226.4,5346,107,12.48,6.1,12.2,1
