"frame","x [nm]","y [nm]","z [nm]","sigma1 [nm]","sigma2 [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","uncertainty_z [nm]","detections"
11413,24445.23835,19085.0613,-3.97067,122.9,125,12567,106,12.48,2.12,4.24,3
11414,25236.41349,20858.76228,66.5533,160.3,129.8,8307,99,12.48,3.24,6.48,2
11416,25245.86517,20770.56422,29.7328,142.8,127.3,33584,104,12.48,1.46,2.92,8
11417,24850.48195,20390.86519,91.5194,162.8,109.4,44170,107,12.48,1.31,2.62,10
11417,24447.57847,19089.26519,10.3864,130.4,123.8,2654,112,12.48,5.41,10.82,1
11430,24701.21916,20008.47781,37.8558,139.7,114.9,21198,103,12.48,1.76,3.52,6
11432,24771.74145,20403.17974,147.075,188.2,113.8,8312,110,12.48,3.66,7.32,2
11432,25626.83168,21121.07974,212.605,217.3,95.4,4405,97,12.48,6.66,13.32,2
11437,24697.15975,20005.98459,31.6196,140.2,121.5,5649,113,12.48,3.83,7.66,2
11439,24927.72566,20413.18652,100.272,166.8,110,16643,106,12.48,2.08,4.16,3
11441,24690.86258,19999.98846,64.0756,143.1,95.8,3995,111,12.48,3.74,7.48,1
11441,25126.18124,20999.38846,112.131,175.2,121.1,10705,106,12.48,3.16,6.32,3
11443,24709.45961,19693.59039,-41.3959,117.6,142.8,19101,102,12.48,1.78,3.56,4
11445,25294.96672,20865.79232,-28.2885,158,174,12256,124,12.48,3.1,6.2,2
11446,24714.64419,19792.69329,-138.753,129,181.4,49483,129,12.48,1.34,2.68,6
11446,24428.59797,19044.09329,90.2912,161,106.4,3046,112,12.48,5.41,10.82,1
11448,25063.59158,20408.59522,7.91142,144.3,144.3,2935,104,12.48,5.96,11.92,1
11450,24939.9276,20416.79716,90.9181,167.6,124,8424,102,12.48,3.28,6.56,2
11450,24404.31494,19036.09716,43.4865,133.4,99.4,2146,120,12.48,5.78,11.56,1
11452,24305.64825,18965.79909,167.684,198.3,127.1,6960,120,12.48,3.97,7.94,1
11452,24694.52886,19993.29909,23.5167,125.2,105.4,4192,134,12.48,3.5,7,1
11453,24701.64264,19753.40005,-119.402,121.9,174.3,16445,120,12.48,2.16,4.32,2
11453,24436.22426,19032.20005,90.9202,162.2,108.6,21983,105,12.48,2,4,7
11456,25243.15119,20583.40295,137.73,183.8,112.3,16634,99,12.48,2.44,4.88,4
11456,24681.82993,19994.90295,-264.815,145.6,224.4,3874,115,12.48,7.58,15.16,1
11457,24660.18668,19785.50391,-56.3647,148.2,171.9,37030,128,12.48,1.48,2.96,3
11460,24986.57627,20540.3068,196.398,211.3,124.3,7713,105,12.48,4.54,9.08,2
11461,24587.83975,19452.50777,20.4024,131.6,117.4,9754,94,12.48,2.3,4.6,2
11461,25363.8735,20599.20777,1.67941,116.9,113.1,2971,76,12.48,3.94,7.88,1
11462,25171.11059,20604.50873,165.818,197.3,122.2,24865,98,12.48,2.02,4.04,4
11464,24286.45187,18980.81066,120.26,177.5,117.7,1919,97,12.48,8.84,17.68,1
11466,25043.78994,20565.31258,190.785,207.3,105.3,9963,103,12.48,3.4,6.8,2
11466,25384.80988,20633.81258,-20.7847,108.3,121,2059,88,12.48,5.3,10.6,1
11468,25181.07328,20555.91451,64.0943,154.9,120.1,35706,113,12.48,1.38,2.76,6
11468,24291.43395,18947.11451,162.702,196.1,124.5,10116,118,12.48,3.48,6.96,2
11474,24296.41751,18972.12028,110.906,168.9,102.2,5550,108,12.48,4.23,8.46,2
11475,24964.02879,20372.72124,29.7736,127.4,102.9,1814,110,12.48,6.28,12.56,1
11477,25167.36188,20504.12316,7.93147,122.9,115.4,17905,113,12.48,1.76,3.52,5
11478,24820.34739,19635.92412,-72.5767,93.7,141.3,3003,91,12.48,4.3,8.6,1
11480,24318.06591,18958.52604,84.6978,160.7,111.7,3258,112,12.48,5.25,10.5,1
11482,24354.24232,18991.72796,92.8125,168.9,125.4,48253,103,12.48,1.35,2.7,10
11484,25185.96256,20493.82988,-15.7795,107.4,116.3,1535,123,12.48,7.06,14.12,1
11486,25158.83283,20514.1318,19.7956,129.2,114.3,7138,118,12.48,2.91,5.82,2
11489,25171.33367,20489.93467,2.94697,114.5,109.2,7130,115,12.48,2.82,5.64,3
11493,24219.91536,18968.1385,-38.2409,119.4,142.9,1766,118,12.48,8.08,16.16,1
11495,24381.48467,19003.14042,120.906,179,122.6,6540,96,12.48,4.16,8.32,2
11496,24717.93267,19512.14138,-201.753,100.7,196.5,20490,100,12.48,2.04,4.08,3
11496,24533.60306,19860.44138,122.779,179.6,122,5275,121,12.48,4.34,8.68,1
11498,24332.30521,19166.14329,201.417,213.7,131.5,2980,111,12.48,8.38,16.76,1
11499,24698.32317,19300.04425,-28.2511,119.7,137.6,5242,110,12.48,3.33,6.66,1
11500,24696.18999,19520.9452,-277.89,97.5,227.5,6154,87,12.48,4.33,8.66,1
11501,25058.24497,20707.64616,105.932,165.6,99.5,8674,120,12.48,3.33,6.66,3
11501,24570.18812,19102.44616,-184.899,150.6,194.8,2686,70,12.48,7.62,15.24,1
11503,24551.69565,19778.24807,43.5231,154.5,137.1,17548,116,12.48,2.14,4.28,3
11503,24234.9617,19094.44807,147.748,190.2,126.8,5667,66,12.48,3.89,7.78,1
11507,24530.8675,19747.35189,52.2633,142.5,106.9,6765,176,12.48,2.97,5.94,1
11508,25063.53406,20713.05284,128.404,172.8,90.2,2792,104,12.48,5.77,11.54,1
11512,24378.34703,18985.45666,119.67,179.4,126.5,39372,108,12.48,1.59,3.18,8
11512,24454.96474,20023.45666,62.8765,155.7,123.1,1639,119,12.48,9.62,19.24,1
11513,25031.93544,20604.15761,120.294,183,151,5834,116,12.48,4.54,9.08,1
11514,24623.24064,19918.65857,34.1693,139.4,118.2,3114,89,12.48,4.63,9.26,1
11514,24943.02305,20417.85857,57.8851,145.9,107.6,3322,96,12.48,4.44,8.88,1
11516,24571.82491,19965.96047,54.1418,154.1,127.6,9178,126,12.48,3.41,6.82,3
11518,25053.68469,20733.96238,104.695,168.5,109,3879,119,12.48,6,12,2
11519,24424.48534,18988.36333,170.851,199.8,138.4,23898,108,12.48,2.41,4.82,5
11520,25056.83622,20573.36428,-220.459,110.5,205.4,4418,118,12.48,5.51,11.02,1
11521,24838.46631,19080.96523,-49.4553,120.7,149.5,23340,98,12.48,1.83,3.66,7
11521,25072.89211,20748.96523,90.9672,168.7,127.3,15329,113,12.48,2.42,4.84,3
11524,23915.9059,18273.96809,-191.124,101.4,192.5,3950,129,12.48,5.54,11.08,1
11526,25097.89304,20759.66999,126.544,175,98.1,1826,94,12.48,8.24,16.48,1
11527,24474.79058,19070.17094,139.651,187.9,134.8,20776,122,12.48,2.25,4.5,3
11528,25083.36355,20763.77189,120.305,172.7,100.5,3640,105,12.48,4.9,9.8,1
11529,24529.66414,19687.87284,-35.0955,103,126.2,4346,119,12.48,4.43,8.86,3
11531,24515.23626,19005.67474,104.704,172.1,120.4,11631,111,12.48,2.66,5.32,2
11532,24203.27893,18643.77569,-125.588,96.3,166.8,18124,124,12.48,1.92,3.84,3
11533,24529.87027,19698.37664,-51.9434,106.7,139.8,4020,129,12.48,3.97,7.94,1
11534,24865.30211,19059.67759,-65.0488,102.1,143.4,11945,119,12.48,2.26,4.52,3
11535,24187.22594,18617.37854,-123.714,95.3,165.4,28835,111,12.48,1.65,3.3,8
11535,24542.87844,19712.77854,-266.008,128.6,225.8,10614,114,12.48,3.95,7.9,2
11538,24942.02433,20577.68138,133.418,186.7,148.4,2238,98,12.48,9.38,18.76,1
11539,24894.46924,19059.08233,-51.3152,94.2,129.2,5871,97,12.48,2.89,5.78,2
11540,25044.25047,20554.58328,-99.3702,125.7,170.2,9751,107,12.48,3.04,6.08,2
11540,24448.07526,18970.68328,94.1008,162.2,104.4,7289,114,12.48,3.35,6.7,2
11542,24594.19908,19350.68517,-170.516,149.3,191.2,4076,109,12.48,6.09,12.18,1
11544,25030.9418,20527.68707,16.7152,156.1,156.7,3621,124,12.48,6.03,12.06,1
11546,24197.3954,18614.38896,-118.713,91.6,161.8,6078,106,12.48,3.06,6.12,1
11548,24209.59064,18651.79085,-148.669,105.2,178.5,31567,111,12.48,1.56,3.12,5
11554,24184.90252,18614.39652,-129.941,87,164.4,5563,100,12.48,3.22,6.44,1
11554,24923.23711,20503.79652,104.096,176.4,139.5,2033,103,12.48,9.41,18.82,1
11557,24663.10487,19857.89936,-300.943,104.7,239.4,4458,107,12.48,6.36,12.72,1
11561,24652.53979,19911.50313,-281.593,111.9,231.5,2461,103,12.48,10.03,20.06,1
11563,23740.5466,17506.50502,-304.683,120,243.4,6859,108,12.48,4.82,9.64,1
11563,24667.88509,19914.00502,-279.095,117.8,231.2,34343,102,12.48,2.17,4.34,7
11569,23730.08457,17527.51067,-331.515,133.3,257.8,28676,106,12.48,2.74,5.48,5
11569,24806.39065,20225.71067,-0.74232,144.3,149.1,14849,109,12.48,2.4,4.8,3
11572,24669.92385,19905.31349,-305.925,120.5,244.2,7663,95,12.48,5.23,10.46,2
11574,24798.26503,20226.21537,-11.3486,146.3,156.4,21102,116,12.48,1.97,3.94,3
11580,24851.51558,19620.52101,-5.72752,117.7,120.3,2359,113,12.48,5.38,10.76,1
11583,24841.55945,19645.02382,-51.9088,124.1,153.2,7340,94,12.48,3.28,6.56,2
11583,25067.04314,20648.12382,94.1306,163.9,109.5,19631,117,12.48,2.08,4.16,5
11585,24484.99384,18892.5257,64.1751,148.3,106.3,6646,111,12.48,3.29,6.58,2
11588,24894.60605,20525.92851,194.614,209.6,141.6,2458,102,12.48,9.74,19.48,1
11589,24447.8056,18876.52945,92.2624,165.7,116.4,6565,110,12.48,3.87,7.74,2
11589,24695.7462,20359.42945,91.6383,161,104.4,3575,109,12.48,5.8,11.6,2
11600,24686.1006,20359.93974,93.5182,161.2,102.7,2071,112,12.48,7.28,14.56,1
11603,24860.27083,20378.64254,81.6624,156.6,105.3,4380,119,12.48,4.04,8.08,1
11606,24696.46958,20383.74534,111.621,166.7,95.4,1814,100,12.48,7.89,15.78,1
11621,25189.2113,20878.8593,116,175.4,116.1,2641,105,12.48,6.81,13.62,1
11623,24880.3031,20555.26116,19.8903,133.6,121.1,14393,113,12.48,2.02,4.04,3
11627,24890.16257,20565.76487,31.751,136.7,115.7,11858,107,12.48,2.28,4.56,3
11632,24902.96956,20529.66951,28.6339,132.7,112.4,1269,95,12.48,8.86,17.72,1
11639,25026.43668,19406.67598,-111.16,110.9,167.6,24710,104,12.48,1.83,3.66,6
11649,24967.40534,20382.88522,65.4676,146.5,101,6431,100,12.48,3.52,7.04,3
11652,25032.03456,19382.08798,-63.719,106.5,145.8,3261,108,12.48,4.61,9.22,1
11653,25323.87354,20914.0889,126.008,174.2,97.2,3035,105,12.48,5.61,11.22,1
11653,24966.69681,20373.5889,72.9595,148.3,96.7,5041,110,12.48,3.86,7.72,2
11656,24728.20849,18723.89166,56.1109,143.6,105,3598,113,12.48,4.24,8.48,1
11659,24753.20785,20348.99442,-74.948,113.5,155.6,19401,101,12.48,1.96,3.92,5
11688,24548.47356,19201.12098,126.032,184.4,147.6,2636,119,12.48,8.61,17.22,1
11694,24505.90096,19096.62645,-14.3861,134.6,145.2,1637,96,12.48,8.9,17.8,1
11700,24570.32895,18993.8319,3.71694,128.3,126.1,4882,120,12.48,4.18,8.36,2
11707,24756.79721,20327.23825,92.9681,160.3,101.4,4872,107,12.48,3.68,7.36,1
11709,24771.32951,20321.64007,104.827,166.3,102.3,3334,106,12.48,5.07,10.14,1
11710,24891.84557,19628.54097,-102.997,110.7,164.8,29907,101,12.48,1.44,2.88,4
11712,24762.79587,20264.64278,107.326,174.7,126.9,2409,103,12.48,7.62,15.24,1
11717,24870.30791,19572.74731,-52.4403,115.7,147,27320,114,12.48,1.45,2.9,4
11725,24375.75307,19222.65453,147.901,189.8,122.9,47324,113,12.48,1.51,3.02,9
11725,25169.56945,20856.35453,53.6622,150.9,121.9,2221,113,12.48,7.06,14.12,1
11728,24805.38329,20335.15723,123.563,171.4,92.3,3139,109,12.48,6.63,13.26,2
11729,24977.31654,19205.25813,-105.481,88.7,154.5,3958,124,12.48,4.04,8.08,1
11731,25312.24092,21401.05993,-177.875,99.8,187.3,7342,96,12.48,3.67,7.34,2
11731,24972.54197,19220.05993,-86.7561,88.7,145.7,2465,97,12.48,5.09,10.18,1
11732,24963.19406,19381.56083,-177.25,103.7,188.1,4076,97,12.48,4.9,9.8,1
11733,24910.35492,19600.66173,-60.5425,103.6,142,12334,105,12.48,1.99,3.98,2
11740,24907.61597,19521.26802,-18.723,128.8,141.1,1346,88,12.48,9.61,19.22,1
11746,25143.87482,20821.6734,111.718,172,110.5,8986,111,12.48,3.1,6.2,2
11748,24445.67948,19606.37519,152.91,190,111.1,13014,98,12.48,3.03,6.06,4
11752,24764.54998,20316.67877,84.8859,153.8,95.5,12993,103,12.48,2.43,4.86,5
11755,24940.75237,19515.58145,-60.5273,113.2,149.1,2334,90,12.48,5.98,11.96,1
11757,24943.90375,19498.08324,-59.9019,97.8,137.5,2254,112,12.48,5.57,11.14,1
11758,24002.84789,18148.88413,-263.982,114.8,224.1,3705,98,12.48,6.77,13.54,1
11759,24953.35525,19512.58502,-55.5318,106,141.4,7692,99,12.48,2.75,5.5,2
11761,24835.99124,19279.2868,-34.9351,106,128.8,8448,116,12.48,2.45,4.9,2
11761,24023.57931,18138.0868,-267.1,117.9,225.9,8549,102,12.48,4.4,8.8,2
11764,24837.51743,19279.38947,-42.4222,108,135.4,12518,101,12.48,2.07,4.14,3
11767,24548.42471,19857.59214,60.5564,140.8,95.4,2938,104,12.48,4.53,9.06,1
11768,25216.44237,21010.19303,243.418,236.4,132.9,8983,111,12.48,5.51,11.02,3
11771,24550.15477,19858.0957,67.4242,150,106.2,18970,108,12.48,1.89,3.78,5
11777,24575.05435,19853.40102,63.6838,145.3,100.7,4884,97,12.48,3.83,7.66,2
11781,24558.08723,19864.70457,64.9347,143.5,96.1,7563,103,12.48,2.99,5.98,3
11782,24462.46816,19056.80545,1.27723,125.3,124.2,6638,126,12.48,3.23,6.46,2
11782,25233.52278,20994.80545,97.3886,161,98.2,6995,102,12.48,3.25,6.5,2
11784,24538.07101,19772.00722,-210.291,156,201.7,14259,102,12.48,3.61,7.22,4
11785,25255.37194,21004.80811,111.121,173.3,116.1,7785,108,12.48,3.53,7.06,2
11787,26686.92535,20422.60987,7.52169,123.5,117,1206,89,12.48,8.72,17.44,1
11787,24437.37248,19269.50987,110.498,169.1,103.3,1482,99,12.48,9.8,19.6,1
11788,24745.87627,19754.81076,28.1177,126.2,102.7,15335,103,12.48,1.75,3.5,4
11794,24738.66545,19746.61605,31.8664,130.5,105.7,34436,102,12.48,1.24,2.48,10
11797,24320.11519,18979.11869,96.7749,164.9,109.1,4480,121,12.48,4.27,8.54,1
11804,24277.13651,18987.82485,88.6664,163.1,113.8,1574,106,12.48,9.59,19.18,1
11805,24636.85425,19641.32573,21.8884,129.3,113.1,17490,117,12.48,1.76,3.52,4
11808,24442.26343,19012.32836,75.5631,159.1,118.2,10025,117,12.48,2.77,5.54,2
11811,25043.11483,20660.53099,128.614,178.4,107.5,12111,101,12.48,2.97,5.94,4
11812,24317.07628,18965.83186,126.118,176.4,103.5,2389,97,12.48,6.9,13.8,1
11814,24598.85594,19074.33361,-35.5225,111.5,134.2,11585,105,12.48,2.22,4.44,3
11816,24177.66303,18180.73536,-109.165,108.6,165.9,10181,105,12.48,2.67,5.34,2
11818,24575.69025,19017.13711,-7.43528,132.4,138.6,3987,126,12.48,4.5,9,1
11821,25372.45535,20868.43973,124.252,172.2,93.8,13642,96,12.48,2.59,5.18,5
11827,25192.19411,20549.14496,60.5978,149.7,112.5,3054,95,12.48,4.94,9.88,1
11830,25454.26107,20569.04758,178.555,202.6,140.7,3177,95,12.48,7.34,14.68,1
11835,25101.4569,20722.25192,113.652,172,108.1,36547,103,12.48,1.49,2.98,8
11835,24432.93182,19277.55192,57.4829,150.8,117.8,2186,103,12.48,6.78,13.56,1
11837,24314.85643,18986.35366,124.263,177.3,110.7,6500,100,12.48,3.99,7.98,2
11839,24746.21335,19177.15539,-116.014,110.2,169.1,1933,97,12.48,8.03,16.06,1
11840,24258.86843,18841.05626,-167.814,131.1,189.7,2987,103,12.48,7.12,14.24,1
11842,24358.04591,18996.15799,69.9668,146.6,96.8,1930,103,12.48,6.55,13.1,1
11845,24464.54028,19660.76059,75.5813,152.6,103,1481,104,12.48,8.81,17.62,1
11846,24672.24196,19622.76146,233.478,230.1,134.6,4946,94,12.48,5.82,11.64,1
11847,24956.86619,19551.96232,-42.3751,136.7,159.3,5585,99,12.48,3.78,7.56,1
11847,24451.5348,18997.26232,51.2399,137.5,99.1,2271,110,12.48,5.56,11.12,1
11848,24470.13096,19650.56318,88.6851,157.3,99.2,2691,115,12.48,5.68,11.36,1
11849,24372.58117,18997.26405,96.7976,163.1,104.2,11822,109,12.48,2.56,5.12,3
11850,24491.57295,19657.76491,73.7051,150.5,100.9,9804,115,12.48,2.71,5.42,3
11850,27079.80862,19986.96491,-105.412,89.6,155.1,3546,83,12.48,4.79,9.58,2
11852,24748.15206,20122.16664,69.3349,155.5,116,21080,104,12.48,1.96,3.92,6
11854,24322.48805,18986.16836,89.3045,163.7,114.9,1606,109,12.48,9.62,19.24,1
11859,24749.8838,20133.67267,61.2161,145.7,103.8,10609,115,12.48,2.3,4.6,2
11863,25746.52616,22205.27611,1.92347,129.7,129.2,5365,98,12.48,3.76,7.52,2
11863,24502.86017,19007.07611,108.02,172.7,117.9,2705,98,12.48,6.48,12.96,1
11864,24713.20383,19065.17697,158.572,194.7,130.6,2983,88,12.48,6.94,13.88,1
11865,24873.14645,19103.57783,-31.7795,109.7,130.2,6102,100,12.48,3.42,6.84,3
11865,25148.01502,20669.67783,21.8931,126,108.1,1374,103,12.48,7.89,15.78,1
11867,24786.06361,20161.47955,74.3159,151.3,102.2,14207,129,12.48,1.97,3.94,2
11867,25277.57536,20640.97955,145.463,190.1,137.4,11897,112,12.48,3.08,6.16,2
11867,25754.0481,22185.17955,11.9059,132.7,125.9,12111,116,12.48,2.36,4.72,3
11869,24465.67272,19002.88126,53.095,142.3,105.9,14120,97,12.48,2.07,4.14,4
11870,25075.46494,20748.98212,129.234,181.5,118.9,17219,105,12.48,2.44,4.88,4
11873,24812.48714,20172.18469,94.9066,159.4,96.9,2163,107,12.48,6.65,13.3,1
11875,25083.80039,20708.7864,89.9122,162,109.6,10307,107,12.48,3.34,6.68,5
11876,24517.5006,19328.48725,28.7496,137.5,119.8,2023,104,12.48,6.72,13.44,1
11877,24033.1025,18128.08811,-222.763,121.1,207.4,3033,103,12.48,7.49,14.98,1
11877,24846.53057,20156.58811,35.6139,128.9,99.5,3682,104,12.48,4.29,8.58,2
11881,24029.85322,18126.99152,-253.972,114.3,219.6,17841,102,12.48,2.88,5.76,4
11881,25150.46344,20684.19152,55.582,167.2,156.2,7660,97,12.48,4.99,9.98,4
11885,24560.69237,18969.69493,19.3811,126.9,111.5,9707,119,12.48,2.49,4.98,3
11886,24031.07559,18136.29579,-271.45,121,228,10582,106,12.48,3.84,7.68,2
11886,24881.38991,20517.09579,216.596,215.7,164.2,5435,105,12.48,5.72,11.44,1
11909,25416.30486,22108.81528,-259.61,117.9,222.6,5170,104,12.48,5.3,10.6,1
11911,25409.19297,22016.71697,-286.448,106.3,233.2,17686,109,12.48,3.12,6.24,4
11911,25284.91783,21145.01697,-175.983,118.2,190.4,15784,131,12.48,2.43,4.86,2
11912,25144.38487,20668.71781,37.4589,140,116.1,7476,98,12.48,2.91,5.82,2
11913,24776.2343,20461.81865,164.15,196.4,122.8,3866,106,12.48,5.86,11.72,1
11915,25905.38135,18663.02034,-210.935,102.9,200.6,6919,96,12.48,4.22,8.44,2
11917,25406.96093,22090.52202,-223.419,107.4,206.2,7566,110,12.48,4.3,8.6,2
11919,24811.70142,19963.9237,1.25564,112.8,108.4,5796,120,12.48,2.96,5.92,2
11919,24409.8141,19350.8237,43.0703,161.6,151.8,2079,101,12.48,8.93,17.86,1
11921,24366.42565,19387.22538,99.2378,170.2,122.3,3265,101,12.48,5.65,11.3,1
11921,25409.40201,22081.62538,-229.663,113.5,209.5,27849,109,12.48,2.29,4.58,7
11924,24375.06466,19364.2279,111.093,180.8,153.2,2360,97,12.48,8.87,17.74,1
11925,24893.91142,19983.32873,16.2294,137.8,129.9,2251,143,12.48,7.24,14.48,1
11926,25251.19034,20799.72957,150.41,191.1,126.2,9503,106,12.48,3.48,6.96,2
11928,24644.54994,19142.23125,20.5957,135.1,122.6,7629,93,12.48,3.13,6.26,3
11929,25405.85009,22095.03208,-204.705,107.7,199,2434,98,12.48,8.03,16.06,1
11931,25185.24507,20753.43376,129.187,185.5,148.8,2552,105,12.48,8.58,17.16,1
11932,25407.07119,22113.03459,-246.522,121.2,217,20654,100,12.48,2.73,5.46,5
11933,24805.00289,19940.13543,-13.7337,107.1,114.6,7686,115,12.48,2.85,5.7,4
11934,24691.4995,19133.73626,1.24392,125,123.8,14025,121,12.48,1.87,3.74,2
11934,25137.79258,20620.33626,50.5478,135.5,96.4,1043,102,12.48,9.95,19.9,1
11936,24833.05034,19002.03793,-18.1047,130.3,142.6,17997,102,12.48,1.98,3.96,4
11939,24800.84009,19953.94043,-13.7384,109.3,116.9,4961,116,12.48,3.41,6.82,2
11941,24831.8338,18980.5421,14.3446,141.4,136.4,3339,98,12.48,5,10,1
11942,26183.72033,19066.14293,-291.465,115.7,236.6,6094,92,12.48,5.92,11.84,2
11945,24652.38397,19633.34542,-199.101,119.6,198.6,6212,101,12.48,4.05,8.1,1
11945,26185.34786,19105.84542,-287.099,121,235.2,2617,90,12.48,9.54,19.08,1
11947,24660.41268,19646.24709,-134.196,89.6,167.2,2721,108,12.48,5.71,11.42,1
11949,24656.85728,19651.44874,-184.125,108.1,191.5,9264,103,12.48,3.31,6.62,2
11952,24657.46866,19667.15123,-185.376,105,191.3,21519,109,12.48,2.1,4.2,4
11955,24528.01283,18923.05371,42.4181,142.1,115.2,26431,110,12.48,1.54,3.08,6
11958,24631.35696,19595.2562,-190.374,87.2,188.4,2250,113,12.48,7.8,15.6,1
11963,24463.99983,19456.16032,83.6025,160,111.9,3099,107,12.48,5.37,10.74,1
11964,24525.68069,19047.26115,23.6881,134.5,119.3,5013,104,12.48,3.33,6.66,1
11966,24573.23761,19061.96279,50.5228,153.4,129.6,20007,103,12.48,1.83,3.66,3
11969,25064.03972,20301.76526,3.71299,128,125.6,3093,105,12.48,5.78,11.56,2
11970,24649.75591,19648.96608,-262.778,106.3,222.4,6386,104,12.48,4.37,8.74,1
11970,24515.11604,19041.86608,16.1942,130.3,119.2,4565,122,12.48,3.59,7.18,1
11971,23659.51829,17721.8669,-159.179,94.3,178.6,3351,118,12.48,5.48,10.96,1
11972,24645.99726,19736.96773,-207.859,114.7,201.1,4668,110,12.48,5.12,10.24,1
11972,24516.53975,19051.66773,24.3059,137.3,123.1,6762,123,12.48,2.9,5.8,1
11974,24515.32146,19054.36937,9.95008,134.5,129.9,32522,111,12.48,1.46,2.92,8
11975,24652.19741,19633.57019,-192.883,106.7,194.5,21150,105,12.48,2.16,4.32,4
11982,24619.88766,19497.27592,-313.34,104.3,245.5,5061,94,12.48,5.72,11.44,1
11983,24655.85991,19660.37673,-189.145,106.7,193,6512,100,12.48,3.64,7.28,1
11984,24582.08796,19301.47755,-308.973,125.5,246.2,4575,101,12.48,6.68,13.36,1
11985,24636.04607,19537.47837,-215.983,117.7,204.4,14993,107,12.48,2.6,5.2,2
11985,24484.5381,19048.67837,21.1753,128.1,111.6,2445,114,12.48,5.31,10.62,1
11987,25304.97869,20902.08,67.9812,149.8,105.6,7399,101,12.48,2.98,5.96,2
11990,24730.65233,19153.48244,-13.7782,116.2,124.7,2536,90,12.48,4.89,9.78,1
11990,25313.92243,20900.38244,53.6246,141.9,104.3,15700,111,12.48,1.95,3.9,4
11992,24759.20722,20120.78407,63.6086,146.3,102.6,8109,98,12.48,2.68,5.36,2
11995,24742.03589,19326.58651,-4.42061,124.8,127.8,6763,100,12.48,3.71,7.42,4
11996,25308.33682,20905.18732,59.2368,148.2,111,5871,102,12.48,3.61,7.22,2
11999,24712.36644,20073.28976,104.17,177.1,142.3,3950,109,12.48,5.65,11.3,1
12001,24778.21403,20143.09138,100.424,170.2,120.3,5678,102,12.48,4.44,8.88,2
12001,24571.02104,19721.79138,56.7365,165.4,150.7,11669,100,12.48,2.84,5.68,2
12003,24694.2811,20066.793,78.5784,167,136.4,31532,109,12.48,1.64,3.28,5
12009,24834.20812,20128.59785,96.6727,175,143.8,2220,94,12.48,8.57,17.14,1
12011,25467.57546,21363.09946,7.42479,146.1,147.3,12499,122,12.48,2.8,5.6,3
12012,24703.83765,20066.80027,83.5642,165.3,125.8,9051,104,12.48,3.1,6.2,2
12012,25154.19533,20683.60027,12.4168,150.4,150.6,3263,105,12.48,5.86,11.72,1
12020,25073.61881,20590.8067,52.353,170.6,166.1,5587,96,12.48,5.46,10.92,2
12021,25486.98914,21368.2075,53.6004,157.7,135.6,1753,90,12.48,8.93,17.86,1
12024,24526.4241,19307.10991,53.598,156.6,133.4,2161,104,12.48,7.72,15.44,1
12025,24728.33362,19281.61071,-28.7839,116.1,134.3,32727,103,12.48,1.33,2.66,8
12027,25491.86976,21362.01231,25.5112,140.9,127.4,6778,117,12.48,3.48,6.96,2
12029,24675.29265,20035.41391,20.5168,131,116.6,9896,124,12.48,2.62,5.24,3
12031,25440.86109,21118.61551,180.285,203.6,135.1,4135,129,12.48,6.44,12.88,1
12031,25081.44883,20740.31551,135.35,181.8,108.9,11811,113,12.48,2.68,5.36,2
12047,24512.71778,19283.42823,69.8067,164.3,137.3,11814,101,12.48,2.92,5.84,3
12051,24587.40681,19282.4314,143.447,189.7,149.2,14625,97,12.48,2.95,5.9,3
12052,24853.13053,19146.43219,-60.6341,90.5,132.4,3356,98,12.48,3.73,7.46,1
12055,24812.99409,19273.63456,-99.9548,129.7,172,14285,126,12.48,2.45,4.9,2
12059,24950.88763,19454.63771,-60.0155,101,139.9,3442,78,12.48,3.88,7.76,1
12060,24866.85252,19247.7385,-94.9659,80.9,144.7,10464,81,12.48,1.98,3.96,2
12061,24980.76342,19420.13928,-74.3714,83.6,135.5,8324,82,12.48,2.35,4.7,3
12065,24839.31731,19200.34243,-59.3961,100.8,139.3,10860,106,12.48,2.29,4.58,3
12069,24670.9432,19847.84556,-269.097,115.2,226.5,4933,104,12.48,5.56,11.12,1
12071,24679.47983,19880.54713,-284.077,122.3,233.9,18974,99,12.48,3,6,4
12090,24588.03543,19860.76193,56.667,140.6,98.9,15568,107,12.48,1.88,3.76,4
12095,24544.44494,19871.06579,102.846,167.3,108,11682,109,12.48,2.46,4.92,2
12100,24568.83487,19856.96965,92.2329,160.2,101.9,2912,96,12.48,5.24,10.48,1
12102,25376.06536,21035.57119,27.949,131.9,111.7,1336,101,12.48,8.56,17.12,1
12104,24566.49958,19863.67273,65.3935,147.4,103.1,12504,117,12.48,2.25,4.5,3
12105,25411.632,20979.9735,55.4071,142.9,104.2,1751,115,12.48,7.44,14.88,1
12108,25413.36083,20992.3758,61.0216,140.6,94.8,6023,103,12.48,3.12,6.24,2
12113,24576.36037,19861.27964,66.0105,145.4,98.2,19557,108,12.48,1.65,3.3,4
12119,24606.74597,19884.18422,36.0491,135.5,109.7,2035,104,12.48,6.22,12.44,1
12123,24231.58519,18584.08727,-234.813,120,212,12454,104,12.48,3.09,6.18,2
12126,24691.08956,19866.98955,44.1569,133.4,98.9,8715,108,12.48,2.57,5.14,3
12129,24554.41872,19325.49182,41.6581,137.3,107.9,7291,91,12.48,3.03,6.06,3
